SleepDuration,SleepEfficiency,REMPercentage,DeepPercentage,HighEfficiency,ScreenUse
7.0,0.6,22.0,26.0,0,0
8.9,0.79,28.0,17.0,0,1
7.7,0.65,25.0,22.0,0,1
6.8,0.63,24.0,19.0,0,0
8.2,0.51,19.0,29.0,0,1
8.2,0.62,18.0,39.0,0,1
8.0,0.57,17.0,35.0,0,1
7.6,0.72,15.0,33.0,0,0
6.8,0.65,20.0,26.0,0,0
7.3,0.5,21.0,27.0,0,1
5.3,0.6,19.0,35.0,0,0
6.9,0.63,14.0,30.0,0,1
7.1,0.56,24.0,16.0,0,1
7.0,0.57,14.0,35.0,0,0
7.6,0.59,22.0,29.0,0,0
8.0,0.56,24.0,30.0,0,1
8.0,0.61,23.0,30.0,0,1
7.3,0.62,22.0,26.0,0,1
8.2,0.58,22.0,24.0,0,1
8.5,0.64,19.0,26.0,0,1
7.9,0.63,22.0,26.0,0,0
8.2,0.53,17.0,33.0,0,1
8.2,0.56,19.0,44.0,0,0
6.9,0.53,20.0,32.0,0,1
7.8,0.58,17.0,34.0,0,0
8.1,0.61,20.0,26.0,0,1
7.6,0.56,21.0,33.0,0,0
8.0,0.66,26.0,20.0,0,1
8.0,0.64,25.0,24.0,0,0
8.0,0.62,23.0,30.0,0,1
5.6,0.7,25.0,26.0,0,1
8.2,0.64,26.0,27.0,0,0
7.7,0.59,23.0,31.0,0,0
8.6,0.7,20.0,32.0,0,1
8.8,0.59,25.0,23.0,0,1
7.3,0.55,16.0,32.0,0,0
7.7,0.63,20.0,32.0,0,1
8.5,0.56,19.0,28.0,0,1
7.9,0.6,25.0,23.0,0,1
6.7,0.5,20.0,22.0,0,1
7.2,0.52,15.0,37.0,0,0
6.6,0.6,23.0,34.0,0,1
8.2,0.81,23.0,60.0,0,1
7.8,0.84,27.0,57.0,0,0
7.6,0.81,20.0,58.0,1,0
6.7,0.88,25.0,56.0,0,1
7.0,0.78,22.0,61.0,0,1
7.2,0.84,26.0,61.0,0,0
6.5,0.7,26.0,59.0,0,1
7.5,0.92,27.0,57.0,1,1
7.4,0.82,27.0,59.0,0,1
7.8,0.82,26.0,61.0,0,1
7.8,0.86,24.0,55.0,0,0
9.7,0.93,23.0,55.0,1,0
9.0,0.73,23.0,58.0,0,0
6.1,0.8,27.0,55.0,0,0
8.4,0.96,30.0,54.0,1,1
6.6,0.89,28.0,61.0,1,1
7.5,0.88,23.0,55.0,1,0
8.3,0.89,25.0,59.0,1,1
6.7,0.82,28.0,57.0,0,1
8.4,0.66,24.0,60.0,0,1
6.3,0.63,25.0,54.0,0,1
7.6,0.81,25.0,59.0,0,0
7.0,0.88,25.0,54.0,1,0
8.3,0.78,26.0,55.0,0,1
6.7,0.81,23.0,56.0,0,1
7.2,0.85,24.0,61.0,0,1
7.7,0.85,26.0,58.0,0,1
8.6,0.91,26.0,59.0,0,0
7.2,0.74,28.0,53.0,0,0
7.5,0.98,25.0,57.0,1,1
7.8,0.84,28.0,61.0,0,0
7.6,0.83,28.0,62.0,1,1
6.8,0.92,27.0,61.0,1,1
6.1,0.85,28.0,58.0,0,0
6.8,0.77,21.0,56.0,0,0
6.6,0.78,24.0,59.0,0,1
7.4,0.74,23.0,60.0,0,1
6.9,0.74,28.0,52.0,1,1
6.9,0.87,20.0,59.0,0,0
6.4,0.74,27.0,56.0,0,1
7.3,0.89,26.0,58.0,1,0
9.0,0.88,25.0,59.0,1,0
7.0,0.81,27.0,59.0,0,0
7.0,0.81,25.0,53.0,1,1
6.8,0.88,27.0,56.0,1,0
8.5,0.87,25.0,59.0,1,1
7.7,0.94,24.0,58.0,1,1
8.5,0.79,22.0,58.0,0,1
7.4,0.86,27.0,58.0,1,1
7.6,0.78,24.0,53.0,0,1
8.1,0.95,26.0,58.0,1,1
8.2,0.89,32.0,56.0,1,0
7.3,0.84,25.0,60.0,1,0
8.2,0.73,28.0,55.0,0,1
7.4,0.89,27.0,56.0,0,0
6.4,0.98,25.0,59.0,1,0
8.6,0.93,27.0,57.0,1,1
7.9,0.72,23.0,55.0,0,0
8.8,0.83,23.0,57.0,1,0
7.2,0.83,28.0,53.0,1,0
7.5,0.92,24.0,57.0,1,1
7.5,0.94,23.0,61.0,1,0
8.1,0.86,25.0,55.0,0,0
7.0,0.87,21.0,60.0,0,1
6.9,0.86,24.0,57.0,1,0
9.4,0.69,26.0,58.0,0,0
7.2,0.8,23.0,57.0,0,1
7.1,0.86,24.0,59.0,0,0
5.8,0.89,25.0,57.0,0,1
6.6,0.78,24.0,60.0,0,1
7.2,0.85,23.0,61.0,0,0
7.5,0.9,26.0,61.0,1,1
7.3,0.69,27.0,59.0,0,1
6.4,0.87,31.0,58.0,1,1
7.2,0.91,28.0,58.0,1,0
6.7,0.83,25.0,56.0,1,1
6.9,0.85,25.0,60.0,0,0
7.8,0.82,23.0,57.0,0,1
8.7,0.86,26.0,56.0,1,1
7.9,0.77,25.0,58.0,0,1
7.9,0.98,27.0,55.0,1,1
8.5,0.92,25.0,56.0,1,1
9.3,0.8,27.0,57.0,0,1
7.6,0.92,28.0,58.0,1,0
9.0,0.98,23.0,63.0,1,0
9.0,0.76,26.0,58.0,0,0
7.2,0.7,25.0,54.0,0,1
7.2,0.87,30.0,55.0,1,1
7.4,0.98,26.0,58.0,1,0
7.9,0.79,27.0,57.0,1,1
7.9,0.88,29.0,59.0,1,1
7.8,0.88,24.0,58.0,0,1
7.5,0.87,26.0,59.0,1,0
8.5,0.98,23.0,55.0,1,0
9.0,0.74,27.0,56.0,0,0
5.5,0.85,24.0,59.0,1,0
7.7,0.91,28.0,53.0,1,1
8.5,0.82,27.0,57.0,0,1
7.0,0.85,24.0,56.0,1,1
7.7,0.85,26.0,57.0,1,1
8.6,0.97,28.0,62.0,1,1
8.6,0.88,26.0,54.0,1,0
6.3,0.69,28.0,60.0,0,1
7.8,0.86,25.0,57.0,1,1
9.7,0.85,27.0,60.0,1,1
7.4,0.85,23.0,57.0,0,0
7.1,0.72,26.0,54.0,0,0
7.6,0.92,26.0,60.0,1,1
8.4,0.81,24.0,62.0,0,0
6.9,0.82,23.0,59.0,0,1
7.5,0.85,25.0,56.0,0,0
7.9,0.91,27.0,58.0,0,0
6.1,0.74,23.0,61.0,0,1
6.6,0.97,24.0,58.0,1,0
7.6,0.67,24.0,55.0,0,1
8.5,0.84,20.0,57.0,0,1
8.0,0.87,25.0,57.0,1,0
6.6,0.89,25.0,60.0,1,1
8.5,0.81,22.0,57.0,0,0
7.6,0.88,25.0,61.0,1,1
7.3,0.76,21.0,57.0,0,1
6.3,0.85,26.0,58.0,0,0
7.0,0.89,28.0,52.0,1,1
7.3,0.67,22.0,57.0,0,0
8.2,0.88,27.0,57.0,1,0
8.1,0.91,22.0,55.0,1,1
7.6,0.77,28.0,53.0,0,1
7.9,0.86,26.0,58.0,1,0
6.6,0.82,27.0,58.0,0,0
7.5,0.83,27.0,62.0,0,0
7.3,0.71,22.0,59.0,0,1
7.3,0.67,26.0,58.0,0,1
7.4,0.98,25.0,59.0,1,1
9.1,0.83,26.0,58.0,0,1
7.1,0.87,25.0,59.0,1,0
6.3,0.96,26.0,61.0,1,1
7.6,0.83,26.0,57.0,1,1
7.9,0.87,24.0,59.0,0,0
7.5,0.86,26.0,58.0,1,1
8.6,0.85,24.0,58.0,0,1
8.0,0.74,24.0,60.0,0,1
9.2,0.74,25.0,61.0,0,0
8.1,0.75,24.0,57.0,0,1
6.9,0.84,24.0,58.0,0,0
8.3,0.83,26.0,55.0,1,0
6.7,0.81,26.0,54.0,0,1
8.1,0.67,27.0,53.0,0,1
8.3,0.76,24.0,56.0,0,0
8.9,0.82,21.0,64.0,0,0
6.9,0.87,24.0,58.0,1,0
6.1,0.96,26.0,56.0,1,0
8.8,0.98,26.0,56.0,1,0
7.6,0.75,30.0,51.0,0,0
8.4,0.74,26.0,57.0,0,1
6.5,0.85,22.0,60.0,0,0
7.4,0.71,24.0,54.0,0,1
8.5,0.66,26.0,63.0,0,1
5.3,0.76,24.0,56.0,0,0
8.2,0.77,28.0,59.0,0,0
8.2,0.8,27.0,56.0,0,0
7.5,0.9,25.0,54.0,1,1
6.6,0.77,26.0,57.0,0,0
7.7,0.85,23.0,61.0,0,1
7.6,0.82,26.0,57.0,0,1
6.7,0.69,24.0,57.0,0,1
8.1,0.88,29.0,59.0,1,1
7.6,0.7,22.0,63.0,0,1
7.8,0.87,26.0,54.0,1,0
8.2,0.83,27.0,61.0,0,0
6.4,0.75,23.0,58.0,0,1
8.5,0.89,25.0,59.0,0,0
8.0,0.8,26.0,58.0,0,0
6.7,0.8,23.0,58.0,0,1
7.2,0.81,24.0,56.0,0,0
8.8,0.79,25.0,62.0,1,1
5.7,0.76,28.0,52.0,0,0
7.0,0.81,28.0,55.0,1,1
7.3,0.86,26.0,55.0,0,1
7.5,0.96,26.0,56.0,1,0
7.7,0.72,23.0,56.0,0,1
8.4,0.82,31.0,56.0,0,1
7.8,0.94,27.0,57.0,1,1
7.0,0.77,26.0,59.0,0,0
8.0,0.92,23.0,59.0,1,0
6.8,0.92,28.0,50.0,1,1
7.4,0.84,24.0,59.0,0,0
7.2,0.87,25.0,58.0,1,1
6.5,0.63,29.0,56.0,0,1
8.4,0.87,28.0,52.0,1,1
7.9,0.78,25.0,54.0,0,0
7.9,0.86,25.0,57.0,0,0
7.7,0.98,24.0,60.0,1,1
8.4,0.81,25.0,60.0,0,0
8.3,0.81,27.0,58.0,0,1
7.5,0.98,25.0,55.0,1,0
7.3,0.82,26.0,63.0,0,1
8.1,0.9,25.0,55.0,1,1
6.3,0.8,21.0,60.0,0,1
6.8,0.91,24.0,54.0,1,0
8.1,0.87,24.0,57.0,1,1
7.8,0.93,22.0,58.0,1,0
8.4,0.94,27.0,62.0,1,0
8.2,0.82,23.0,57.0,1,0
6.0,0.73,24.0,62.0,0,1
6.7,0.79,26.0,58.0,0,0
8.5,0.8,27.0,59.0,0,1
8.1,0.8,28.0,58.0,1,0
6.4,0.83,24.0,58.0,1,1
7.2,0.8,24.0,60.0,0,0
7.5,0.91,23.0,57.0,1,1
7.6,0.88,24.0,58.0,1,1
7.4,0.78,24.0,63.0,0,0
7.8,0.8,26.0,56.0,0,0
6.6,0.83,21.0,58.0,0,1
6.6,0.88,27.0,58.0,1,1
7.6,0.82,23.0,59.0,1,0
7.6,0.98,26.0,59.0,1,0
7.1,0.71,25.0,59.0,0,1
8.5,0.86,27.0,56.0,0,0
7.5,0.8,25.0,56.0,0,0
5.8,0.86,29.0,55.0,1,0
9.1,0.86,24.0,56.0,0,0
6.8,0.79,25.0,55.0,0,1
7.1,0.97,28.0,62.0,1,0
6.5,0.92,25.0,61.0,1,1
5.8,0.79,27.0,59.0,0,1
6.8,0.78,25.0,55.0,0,1
7.7,0.93,26.0,60.0,1,0
7.3,0.87,28.0,60.0,0,1
7.3,0.87,26.0,58.0,1,0
7.5,0.86,24.0,53.0,1,0
7.6,0.97,27.0,52.0,1,0
8.3,0.89,24.0,55.0,0,1
7.0,0.97,28.0,57.0,1,0
6.3,0.68,21.0,59.0,0,1
8.0,0.83,26.0,58.0,0,1
8.0,0.83,24.0,63.0,1,1
7.5,0.83,28.0,55.0,1,1
7.0,0.78,25.0,59.0,0,0
7.9,0.96,27.0,52.0,1,0
7.8,0.64,20.0,56.0,0,1
7.5,0.78,25.0,53.0,0,1
6.6,0.79,24.0,57.0,0,1
8.7,0.74,28.0,61.0,0,1
7.9,0.77,20.0,60.0,1,1
9.2,0.81,22.0,59.0,0,0
8.5,0.7,23.0,63.0,0,0
6.6,0.85,21.0,62.0,0,1
8.3,0.89,26.0,57.0,1,0
8.2,0.87,24.0,57.0,1,1
8.2,0.86,25.0,54.0,1,1
7.0,0.89,23.0,65.0,1,1
