rating,thumbs_up,review_description,neg,neu,pos,compound
5,0,Faina aplicația. E simplă și are tot ce am nevoie. Imi place că pot sa pun icoane personalizate si ca am auto backup,0.0,1.0,0.0,0.0
5,0,Very good,0.0,1.0,0.0,0.0
5,5,Great app. Nice to have: Copy and paste without edit or direct auto fill of password.,0.0,0.781,0.219,0.4215
5,0,Love this application,0.0,1.0,0.0,0.0
1,1,I downloaded this app so I wouldn't have to guess and make up one!! The very first thing I have to do with this when I open it is MAKE UP A PASSWORD!!!,0.0,1.0,0.0,0.0
5,0,Excellent,0.0,1.0,0.0,0.0
5,5,"Been using for several years and I still love it!!! Easy to use, convenient, it's exactly what I needed one place to put all those irritating passwords that have to be changed every time I turn around. --- One app that hasn't changed in a long list of installs and uninstalled...this has stood the test of time.",0.074,0.739,0.187,0.6486
5,2,"Hello, can you please tell me how to recover the login password...I am totally locked out as I cant login and access other passwords. Thanks great work.",0.0,0.574,0.426,0.836
5,1,"Easy, user friendly & what i like the most, backup files can be saved in various ways",0.0,0.403,0.597,0.836
5,0,Great for saving password,0.0,0.385,0.615,0.4939
3,10,The initial problem of downloading my backup has been resolved though had a few issues that I managed to sort So I wanted a paper print out as I want to review and change some passwords but what used to be a 6 page print out is now 28+ pages as the conversion to PDF includes all the tags several times over plus some other data it did not used to this happens on both phones so is not a phone issue. Otherwise I am impressed get this bug squashed and I will buy the full version.,0.058,0.769,0.173,0.5267
5,0,Super useful! Not a single complain at all.,0.0,0.508,0.492,0.4404
5,0,Great,0.0,1.0,0.0,0.0
5,0,Really useful,0.0,1.0,0.0,0.0
5,0,Fantastic!,0.0,1.0,0.0,0.0
5,0,"The update threw me for a loop, but otherwise this app is a lifesaver.",0.0,1.0,0.0,0.0
1,1,Do not install this app no support won't even respond to texts installed password option to manager pass it has locked me out after first time using that feature It seems I am stocked Writing this in hope someone sees it and maybe I get help Just discovered have no option to send this review,0.0,0.765,0.235,0.8074
4,0,I love this ap. All of my passwords in one place.,0.0,1.0,0.0,0.0
1,0,This app lost all my stored passwords one day it was fi e the next nothing.....,0.231,0.769,0.0,-0.4019
5,0,I like it!,0.0,1.0,0.0,0.0
2,3,EDIT Used for years but now won't back up and no response from reports 😡 Brilliant app... nice clear appearance. Love it that can match icons and make own categories. So useful to have to hand. Thank you xx,0.0,0.389,0.611,0.9682
5,0,"This is a ""Very Good"" appt for password storage. I use it quite frequent.",0.0,1.0,0.0,0.0
3,0,Nice app. Wish I could share the data with my other devices,0.0,0.505,0.495,0.5994
3,0,I just started using this app so I'm not going to give it 5 stars yet . But let's see hopefully this one will work out. JMM,0.0,0.828,0.172,0.4019
5,0,Great,0.0,1.0,0.0,0.0
5,1,Thank you so much ❤️ have a great day,0.0,0.494,0.506,0.6249
5,0,Okay so far!🇺🇸🇺🇸 future now greatest thing I've seen 🙌 👏/saved me!!!🇺🇸🇺🇸🐕‍🦺,0.0,0.486,0.514,0.8126
2,0,. No way to import passwords.,0.0,1.0,0.0,0.0
5,6,Saves my all password with just 1 password. I'm using it from a year ago and it's still super useful.,0.0,0.698,0.302,0.5994
5,1,Great app I have used it for years and thankful it does the job well,0.0,0.619,0.381,0.5719
5,1,"Very good application, easy to use",0.0,0.508,0.492,0.4404
1,19,"Warning do not install. If you ever want to change your phone. App developers are not responding , leaving feedback/issues through the app does not work and backing up or restoring of data is no longer supported",0.061,0.761,0.178,0.3182
1,7,"Hi wont restore from my google drive Says "" password manager requires one or more google play services that are not currently available. Please contact the developer for assistance"" I've never had this issue before. Please help, when I try to get help says no internet connection",0.171,0.642,0.187,0.1521
4,0,Good,0.0,1.0,0.0,0.0
5,0,Update App please.,0.0,1.0,0.0,0.0
5,0,Very helpful app,0.0,1.0,0.0,0.0
5,3,I love this app! It's so easy to use & no complex icons in the password setup features. Still loving it.,0.0,0.775,0.225,0.4404
4,31,"I'm having problem to backup all passwords to Google drive. Error message says: password manager requires one or more Google play services. Please contact the deleveloper. I have backed up all passwords to my Google drive several times earlier, but now I can't. Please provide me a solution. Also I tried to use the option ""report an issue"" from the app inside, which too doesn't work saying ""something went wrong, check your internet connection"", although internet was working.",0.173,0.711,0.116,-0.5365
5,0,Simple to use and effective.,0.0,1.0,0.0,0.0
4,0,Best password app yet!,0.0,1.0,0.0,0.0
5,0,Works well,0.0,1.0,0.0,0.0
5,0,"Great app, easy to use",0.0,0.508,0.492,0.4404
5,0,Easy,0.0,1.0,0.0,0.0
5,2,I keeps me in order. I love it and have recommend that my daughter use it.,0.0,0.374,0.626,0.7717
5,0,Great app for keeping track of the many password changes to the different apps,0.0,1.0,0.0,0.0
4,7,This app has been a life saver. Having so many passwords to keep up with can be difficult but this app allows me to keep all of them in one spot.,0.174,0.694,0.132,-0.1531
5,0,I love it,0.0,1.0,0.0,0.0
5,0,Great app!,0.0,1.0,0.0,0.0
5,1,It easy and so fare works,0.0,1.0,0.0,0.0
4,0,Very good apps,0.0,1.0,0.0,0.0
5,0,Just the best,0.0,1.0,0.0,0.0
5,5,Love this app!!! Just don't forget your password!! It's so well protected your the only one who can open your information .,0.139,0.535,0.326,0.351
5,0,good,0.0,1.0,0.0,0.0
5,0,Excellent app.,0.0,1.0,0.0,0.0
5,1,The best password manager I've used so far 😊,0.0,1.0,0.0,0.0
4,2,Easy to use. Great off-line app.,0.174,0.349,0.477,0.5574
5,2,Keeps me organized and avoids pulling my hair out! Recommended by an IT friend.,0.227,0.515,0.258,0.0772
5,3,Awesome,0.0,1.0,0.0,0.0
5,2,Has some Icons. Doesn't have MeWe Social Network icon 🤔. Secure. I'm happy 😊.,0.0,0.769,0.231,0.34
4,1,good,0.0,1.0,0.0,0.0
5,2,easy to use,0.0,1.0,0.0,0.0
5,5,Convenient pw storage. Just a master pw to keep app safe. Also backup to cloud drive.,0.0,0.791,0.209,0.4404
5,11,"Secure 🔐. Works perfectly. I was able to recover my data after multiple bootloader failures! The only feature I would like to have is, customizable icons - Create my own standard icons. e.g. Specific icons unique to my country.",0.101,0.604,0.295,0.7003
5,2,Easy t manage,0.0,1.0,0.0,0.0
4,14,Very good app. I just need to know what happens if I loose my phone? How do get my info back in secure mode??,0.156,0.68,0.163,0.0258
5,1,Great .. I use it all the time !,0.0,1.0,0.0,0.0
5,2,"Great app, easy to use. I have no issues",0.0,0.58,0.42,0.4404
5,15,Easy to use. Previously I was able to restore my backup data multiple times due to bootloader failures on my LG-G3. This is a must for all smartphone. I've lost data so many times before. Transferring my data to my current phone was a simple and easy. Excellent job! Thank you so much...Very happy with the new feature. Fingerprint scan is very nice!,0.115,0.584,0.302,0.8519
5,2,I really recommend this app.. it's a nice app ever that we could use.. very organized for account to keep your password and email with matching icon that reflects to the account that related to.. so useful and manageable.. its better to organized with style but simply.. I love it!!!!,0.0,0.654,0.346,0.8779
4,1,Is this app available on my laptop?,0.0,1.0,0.0,0.0
1,1,"Loved the app for awhile but recently it has wiped all my passwords twice. 
You don't get a third strike with me. Uninstalling because I can't trust 
this app.",0.158,0.761,0.08,-0.3252
5,1,"This is the easiest security app I have found. It makes storing passwords 
simple.",0.0,0.745,0.255,0.34
5,1,Good quality easy to set up and use,0.0,0.58,0.42,0.4404
5,2,Easy to use and handy.,0.0,1.0,0.0,0.0
5,1,Love this app! This is my life in one little app,0.0,1.0,0.0,0.0
5,4,Easy to use. Simple storage for passwords. Probably not for everyone. But perfect if you just want a single source for your passwords without all the exotic features.,0.0,0.722,0.278,0.6124
5,6,"I tried MANY apps before I FINALLY found one that was conducive to my needs.  I am not familiar with all of the apps feature, however, I am happy with what I presently see.  I don't want an upgrade to PRO feature as the current is sufficient.  Thanks",0.047,0.81,0.143,0.5389
5,1,The app works as advertised.,0.0,1.0,0.0,0.0
5,1,Not too bad,0.0,1.0,0.0,0.0
3,0,"Potentially a great app except for the following points which I could notice in the short period of use: 1. Does not REQUIRE an account - which means if anyone gets access to your phone, they can see your passwords! Unsecure, uhh? 2. Description doesn't give any idea about encryption of your data on the phone! 3. Sync to DropBox/GoogleDrive could be automated!",0.0,0.886,0.114,0.6249
5,2,"Does what it's supposed to do, easy to use. Very customizable. Can't find any negatives. Let's hope it stays that way.",0.0,0.476,0.524,0.8315
5,3,Love this app. It's so clear and easy to se each password saved.,0.0,0.476,0.524,0.6705
5,7,Nice to have my passwords all in one place.,0.0,1.0,0.0,0.0
5,2,Great app!,0.0,1.0,0.0,0.0
5,2,Works great for my needs.,0.0,0.328,0.672,0.6249
5,1,Ok good app...very safe and useful,0.0,0.341,0.659,0.7003
5,2,Good app. Easy to save all my information. Have been saver many times.,0.0,0.496,0.504,0.7269
4,0,"I like this app, just wish there was some way to recover all my passwords I had before i changed phones. I tried to find a backup and have been unsuccessful.",0.0,0.803,0.197,0.4019
5,0,Efficient and well designed,0.0,0.488,0.512,0.2732
5,1,Good one.,0.0,1.0,0.0,0.0
4,4,Loving it so far. It was easy to load all my info and I really like the look of it. I gave it a 4 though because it doesn't have an auto lock. You have to log out for it to lock up again. Would love to see this security feature added.,0.0,0.58,0.42,0.9061
4,2,Good app that stores my passwords and backup to Google Drive.,0.0,1.0,0.0,0.0
5,1,Love the app,0.0,1.0,0.0,0.0
4,1,"When I retrieve stored information from Google drive, it becomes unrecognisable. How can it be possible to retrieve information the same as uploaded?",0.0,1.0,0.0,0.0
4,1,"While it does not auto-sync, it can store it's data on Google Drive and DropBox, so it can be accessed across all platforms. It also does lack an auto-close feature. Otherwise, a very useful app. I especially like the one click copy to clipboard, very handy! Also has a password generator, way cool! A few small tweeks, and this app would rock!",0.059,0.738,0.203,0.6901
4,2,"Does what I need it to do. Would like to see some sort of auto close option for app when phone sleeps or shuts down. Other than that, good app",0.0,0.69,0.31,0.6597
4,1,Great to store password,0.0,1.0,0.0,0.0
5,1,Awesome,0.0,1.0,0.0,0.0
4,3,Very 👍 nice app,0.0,1.0,0.0,0.0
5,3,It is easy to use and has a nice screen layout.,0.0,0.588,0.412,0.4215
5,3,Very handy  No problems at all.,0.0,1.0,0.0,0.0
5,9,"Simple and best password manager... Lovely UI and Icons... If the option to add more fields is given, then it can be used for many purposes... Keep up the good work...",0.0,0.562,0.438,0.8979
5,4,It is nice and very well simple to use,0.0,0.588,0.412,0.2732
5,2,Good done,0.0,1.0,0.0,0.0
5,2,So far so Good,0.0,1.0,0.0,0.0
5,3,Super and easy,0.0,1.0,0.0,0.0
5,0,Amazing,0.0,1.0,0.0,0.0
5,2,Great Password Keeper! Easy to store and retrieve. Thanks so much for the work and dedication put into this app!!!,0.0,0.649,0.351,0.6597
5,1,"Great app, simple to use.",0.0,1.0,0.0,0.0
5,2,Easy to use and flexible with good choice of icons to go with the passwords,0.0,0.556,0.444,0.5859
5,0,good,0.0,1.0,0.0,0.0
3,2,I loved this while inputting my passwords.  Very easy to use.  But I never selected a security code and closed out the app. Now I cannot regain access. There is no option to recover account 😟,0.102,0.752,0.145,0.2177
3,2,I really loved this app until I had to do a factory reset and everything was lost. It was simple and easy to use.   Really wish it had a backup/restore feature. Now I need to look for a different app and type all my passwords again.  Not taking a chance of losing them so installing an app with backup/restore/sync.,0.144,0.533,0.323,0.7713
5,4,It's perfect just looks like a regular email list for sum1 forgetful like myself and its free a beautiful lil app,0.094,0.359,0.547,0.8779
5,0,Good App,0.0,1.0,0.0,0.0
5,2,Awesome app. Very easy to use and understand.,0.0,0.58,0.42,0.4404
4,6,This good app but should have back up feature for the data stored.,0.0,1.0,0.0,0.0
2,0,Sagarkumar,0.0,1.0,0.0,0.0
5,0,Simply amazing,0.0,1.0,0.0,0.0
2,1,Like it,0.0,1.0,0.0,0.0
5,0,Love it,0.0,1.0,0.0,0.0
3,2,Usuful but without any login to restor if the program deleted,0.0,1.0,0.0,0.0
5,0,"Very nice, easy to work with, user friendly,  pleasing view",0.0,0.323,0.677,0.8126
5,2,I think it's best apps I will give it 5 stars,0.0,0.488,0.512,0.6369
3,2,"unfortunately, if in adding a new account you go to browser to copy the URL, you'll return to this password manager to find your email address and password are lost. The app doesn't keep them. So you've got to remember every detail in one go. I've looked at several other password managers and none had such a good interface as this. Simple, logical.  But the above shortcoming needs to be addressed.",0.118,0.882,0.0,-0.6256
4,0,Very good and user friendly app,0.0,0.484,0.516,0.4939
2,0,It's a little cartoonish for my taste.,0.0,1.0,0.0,0.0
5,0,I like this app. Great app,0.0,0.423,0.577,0.6249
2,2,"When I downloaded this app my expectation was that i would be able to see a list of all my apps and i can set a password for whichever ones I choose, with email id for backup. But no matter where I navigate its asking me to login with email id repeatedly. None of my apps are being listed under any category. Not sure if its just me or this app does not have any help section for novice users. Will try figuring it around for a bit else will uninstall.",0.0,0.855,0.145,0.6249
4,1,"Simple and cute. I like that we can add a password to protect our info,  too.",0.0,0.331,0.669,0.7964
5,0,This app doesn't need even a single permission.,0.0,1.0,0.0,0.0
5,1,This app is simple and visually pleasing. It allows a number of options for filtering apps based on their function and assigning icons to each app for easier identification. The whole app can be protected with a password as well. My only complaint is that the password isn't required every time you open the app as long as the app is still running in the background.,0.052,0.64,0.308,0.8316
5,1,Looks good so far,0.0,0.408,0.592,0.4404
5,0,Simple but effective,0.0,1.0,0.0,0.0
4,0,I like the recognizable icons for identifying seperate accounts.,0.0,1.0,0.0,0.0
5,5,Colorful and pleasing to the eye.  Very simple to use.  I really appreciate that it doesn't ask for access to anything on your phone.  And there are no ads.  Very happy with this.,0.0,0.694,0.306,0.6478
5,1,Love it,0.0,1.0,0.0,0.0
5,1,Awesome,0.0,1.0,0.0,0.0
